Plot,Species
190,Lespedeza capitata
190,Liatris aspera
190,Petalostemum purpureum
190,Quercus macrocarpa
193,Andropogon gerardi
193,Lupinus perennis
197,Asclepias tuberosa
197,Panicum virgatum
199,Lupinus perennis
199,Quercus ellipsoidalis
199,Quercus macrocarpa
199,Schizachyrium scoparium
201,Lespedeza capitata
201,Petalostemum purpureum
201,Quercus ellipsoidalis
201,Sorghastrum nutans
202,Achillea millefolium(lanulosa)
202,Agropyron smithii
202,Amorpha canescens
202,Andropogon gerardi
202,Asclepias tuberosa
202,Elymus canadensis
202,Koeleria cristata
202,Lespedeza capitata
202,Liatris aspera
202,Lupinus perennis
202,Monarda fistulosa
202,Panicum virgatum
202,Petalostemum purpureum
202,Poa pratensis
202,Schizachyrium scoparium
202,Solidago rigida
202,Sorghastrum nutans
205,Petalostemum purpureum
206,Agropyron smithii
206,Andropogon gerardi
206,Asclepias tuberosa
206,Lespedeza capitata
206,Lupinus perennis
206,Monarda fistulosa
206,Poa pratensis
206,Solidago rigida
206,Sorghastrum nutans
208,Achillea millefolium(lanulosa)
208,Agropyron smithii
208,Koeleria cristata
208,Lespedeza capitata
208,Lupinus perennis
208,Panicum virgatum
208,Poa pratensis
208,Schizachyrium scoparium
210,Achillea millefolium(lanulosa)
210,Elymus canadensis
210,Koeleria cristata
210,Lespedeza capitata
210,Liatris aspera
210,Lupinus perennis
210,Poa pratensis
210,Schizachyrium scoparium
211,Monarda fistulosa
211,Petalostemum candidum
211,Petalostemum villosum
211,Solidago rigida
213,Achillea millefolium(lanulosa)
213,Andropogon gerardi
213,Koeleria cristata
213,Lespedeza capitata
213,Petalostemum candidum
213,Petalostemum villosum
213,Poa pratensis
213,Quercus macrocarpa
213,Schizachyrium scoparium
220,Achillea millefolium(lanulosa)
220,Agropyron smithii
220,Amorpha canescens
220,Andropogon gerardi
220,Asclepias tuberosa
220,Koeleria cristata
220,Lespedeza capitata
220,Lupinus perennis
220,Monarda fistulosa
220,Panicum virgatum
220,Petalostemum purpureum
220,Poa pratensis
220,Quercus ellipsoidalis
220,Quercus macrocarpa
220,Schizachyrium scoparium
220,Solidago rigida
220,Sorghastrum nutans
221,Quercus ellipsoidalis
221,Quercus macrocarpa
223,Koeleria cristata
223,Liatris aspera
223,Poa pratensis
223,Quercus ellipsoidalis
224,Achillea millefolium(lanulosa)
224,Sorghastrum nutans
225,Elymus canadensis
225,Petalostemum purpureum
225,Quercus ellipsoidalis
225,Schizachyrium scoparium
227,Agropyron smithii
227,Amorpha canescens
227,Andropogon gerardi
227,Asclepias tuberosa
227,Elymus canadensis
227,Koeleria cristata
227,Lespedeza capitata
227,Liatris aspera
